-0.136602f,0.38343f,-0.0453081f
-0.128633f,0.383244f,-0.0398686f
-0.120637f,0.383021f,-0.0342329f
-0.112764f,0.38288f,-0.0305008f
-0.104857f,0.382698f,-0.026305f
-0.0970504f,0.382587f,-0.0229619f
-0.0893769f,0.382585f,-0.0211561f
-0.0815757f,0.382459f,-0.0185026f
-0.0739313f,0.382473f,-0.0176186f
-0.0662762f,0.382474f,-0.0163777f
-0.0586301f,0.382481f,-0.0155503f
-0.0510014f,0.382504f,-0.015456f
-0.0433864f,0.382542f,-0.0158721f
-0.0358411f,0.382665f,-0.0173378f
-0.0282259f,0.382707f,-0.0176467f
-0.0206379f,0.382786f,-0.0184793f
-0.013045f,0.382863f,-0.0193109f
-0.00544131f,0.382927f,-0.0200884f
0.00219394f,0.382943f,-0.0201536f
0.00977756f,0.383047f,-0.0204934f
0.0174002f,0.383086f,-0.0208837f
0.0250406f,0.383088f,-0.0207515f
0.0326421f,0.383172f,-0.0210431f
0.0402679f,0.383203f,-0.0210143f
0.0478902f,0.383242f,-0.0214301f
0.055482f,0.38338f,-0.0228953f
0.0630916f,0.383481f,-0.0245933f
0.070714f,0.383549f,-0.0258692f
0.0783236f,0.383699f,-0.0277803f
0.085938f,0.383879f,-0.0307802f
0.0935632f,0.384068f,-0.0333128f
0.101206f,0.384172f,-0.0368043f
0.10885f,0.384506f,-0.0411574f
0.116518f,0.384818f,-0.0472826f
0.124209f,0.385144f,-0.0529966f
0.131926f,0.385485f,-0.0605756f
0.139676f,0.385888f,-0.0683031f
0.147476f,0.386386f,-0.0772991f
0.155278f,0.386732f,-0.0862003f
0.163158f,0.387273f,-0.0961777f
0.171089f,0.387846f,-0.107792f
0.179077f,0.38845f,-0.121203f
0.187244f,0.389392f,-0.137348f
-0.212511f,0.379216f,-0.132838f
-0.221797f,0.379952f,-0.14889f
-0.203343f,0.378506f,-0.115343f
-0.194527f,0.377962f,-0.101763f
-0.185811f,0.377446f,-0.0890182f
-0.177261f,0.377002f,-0.0784021f
-0.168816f,0.376596f,-0.0678374f
-0.160472f,0.376231f,-0.0587031f
-0.15222f,0.375903f,-0.0504126f
-0.144115f,0.375653f,-0.0437491f
-0.136107f,0.375453f,-0.0376665f
-0.128117f,0.375251f,-0.0325254f
-0.120162f,0.375059f,-0.027624f
-0.112306f,0.374929f,-0.0238735f
-0.104487f,0.374816f,-0.0204807f
-0.0966817f,0.374703f,-0.0168942f
-0.0889646f,0.374655f,-0.0147195f
-0.081264f,0.374615f,-0.0125276f
-0.0735759f,0.37458f,-0.0112178f
-0.0658933f,0.374544f,-0.010325f
-0.0583027f,0.374596f,-0.00953277f
-0.0506703f,0.374603f,-0.00942843f
-0.043079f,0.374654f,-0.00985284f
-0.0355195f,0.374743f,-0.0108828f
-0.0279941f,0.37488f,-0.0121955f
-0.0203692f,0.374897f,-0.0132167f
-0.0127818f,0.374964f,-0.0137275f
-0.00522907f,0.375085f,-0.0147624f
0.00238734f,0.375117f,-0.0153496f
0.00999146f,0.375169f,-0.015451f
